# Constructed from biom file
#OTU ID	C-3H-LATE/56	C-NS/56	C/0	S2-3H-LATE/56	S2-3H/56	S2-NS/56
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae	0.0	0.0	7.7558459689e-05	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae	0.00147753704814	0.00286123032904	0.0059590749861	0.0	0.00104871654167	0.00317644090187
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis	0.0	0.0	0.000723878957097	0.00498153139663	0.000317053838181	0.0
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniaceae	0.000870430241234	0.00221745350501	0.0021457840514	9.98302885095e-06	0.00185354551552	0.00442326817177
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae	0.00160188422546	0.00549356223176	0.00235260661057	6.98812019567e-05	0.00341442594964	0.0033397159015
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis	0.00483491083576	0.0301859799714	0.00584273729657	0.00115803134671	0.0238034266203	0.0288996749343
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae	0.00272100882134	0.022660944206	0.00275332531896	0.000958370769692	0.0356197792818	0.0282762612994
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__unidentified;f__unidentified	8.04599382653e-05	0.000829756795422	0.00149946355399	0.00020964360587	0.00608499481739	0.000994493179558
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae	0.0	0.000100143061516	0.00133142022466	0.0	1.21943783916e-05	5.93727271378e-05
k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified;f__unidentified	0.000716824904545	0.0129184549356	0.0438076033143	0.000998302885095	0.0072190720078	0.00780751361862
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae	0.0	0.0	0.0	0.0	0.000170721297482	0.000519511362456
k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mucorales;f__Mucoraceae	0.0	5.72246065808e-05	9.04848696372e-05	0.0	0.0	0.0
k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified	0.0630952206797	0.64025751073	0.385788704903	0.0881401617251	0.751002987623	0.644312834899
