Length	Count
141.0	146
151.0	193
161.0	101
171.0	846
181.0	2224
191.0	47
201.0	66
211.0	1956
221.0	12801
231.0	2982
241.0	213
251.0	7955
261.0	2049
271.0	6826
281.0	605
291.0	5143
301.0	193
311.0	348
321.0	724
331.0	36
341.0	493
351.0	85
361.0	954
371.0	147
381.0	18
391.0	11
401.0	493
411.0	2
421.0	0
--

