# Constructed from biom file
#OTU ID	C-AS/90	C-AS/90+50h	C-AS/90+140h	C/0	C/30	C/30+120h	C/90	C/90+50h	C/90+140h	LB+LP/30+120h	LB+LP/90	LB-AS/90+50h	LB-AS/90+140h	LB/30	LB/30+120h	LB/90+140h
No blast hit;Other;Other;Other;Other	0.0	0.0	0.0	4.05018995391e-05	0.000142809539677	3.15616715061e-05	0.0	0.0	0.0	3.00842358604e-05	0.0	0.0	0.0	3.07144173475e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae	4.74003289583e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.0	0.0	0.0	0.00230050789382	0.0	0.0	0.00115791575165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46944067169e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae	0.0	0.0	0.0	0.000226810637419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.0	0.0	0.0	0.0380231832873	0.00366544485172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0148043491615	0.0001953125	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified	0.0	0.0	0.0	0.000486022794469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified	0.0	0.0	1.31261157198e-05	0.0	4.76031798924e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.11458333333e-05	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Incertae_sedis	0.0	0.0	0.0	8.10037990782e-06	0.0	0.00243024870597	0.0	0.0	0.0	0.00333935018051	0.0	0.0	0.0	0.0	0.00481770833333	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae	0.0	3.47429714969e-06	0.000459414050194	0.0464637791512	0.0	0.824233051382	0.0	0.0	7.91580912068e-05	0.813056558363	0.0196176642458	0.000334700025103	0.0	0.0484059217397	0.767682291667	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Incertae_sedis;f__Monascaceae	0.0	3.47429714969e-05	0.00136511603486	0.0	0.0	0.0	0.0	3.52622986082e-06	1.249864598e-05	0.0	4.17397111612e-05	0.0	0.0	3.07144173475e-05	0.0	0.0
