# Constructed from biom file
#OTU ID	C-AS/90	C-AS/90+50h	C-AS/90+140h	C/0	C/30	C/30+120h	C/90	C/90+50h	C/90+140h	LB+LP/30+120h	LB+LP/90	LB-AS/90+50h	LB-AS/90+140h	LB/30	LB/30+120h	LB/90+140h
No blast hit;Other;Other;Other;Other;Other	0.0	0.0	0.0	4.05018995391e-05	0.000142809539677	3.15616715061e-05	0.0	0.0	0.0	3.00842358604e-05	0.0	0.0	0.0	3.07144173475e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__unidentified	4.74003289583e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora	0.0	0.0	0.0	0.00229240751391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cladosporium	0.0	0.0	0.0	8.10037990782e-06	0.0	0.0	0.00115791575165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46944067169e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia	0.0	0.0	0.0	0.000226810637419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Cochliobolus	0.0	0.0	0.0	8.9104178986e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0148043491615	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia	0.0	0.0	0.0	2.43011397235e-05	0.00133288903699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Epicoccum	0.0	0.0	0.0	0.0379016775887	0.00233255581473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953125	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Lewia	0.0	0.0	0.0	8.10037990782e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified	0.0	0.0	0.0	0.000486022794469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified	0.0	0.0	1.31261157198e-05	0.0	4.76031798924e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.11458333333e-05	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Incertae_sedis;g__Thermomyces	0.0	0.0	0.0	8.10037990782e-06	0.0	0.00243024870597	0.0	0.0	0.0	0.00333935018051	0.0	0.0	0.0	0.0	0.00481770833333	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus	0.0	3.47429714969e-06	0.000441912562568	0.0	0.0	0.0493940159071	0.0	0.0	7.91580912068e-05	0.018110709988	0.0196176642458	0.0	0.0	0.0484059217397	0.0198828125	0.0
