# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/112
No blast hit;Other;Other;Other;Other	4.49158469525e-05	1.23347148214e-05	0.0	0.000126758778045	0.0	2.92141396436e-05	0.00129812563323	0.0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae	3.20827478232e-05	0.000567396881784	0.00587463203905	0.000302270932262	0.00486791516805	0.0	0.000105538669368	0.000199493593187
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae	3.20827478232e-05	0.000271363726071	0.000815567137742	0.0	0.0075034106412	5.84282792872e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis	0.0	0.0	0.000331324149708	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.00301577829538	0.00363874087231	0.00107043186829	0.0374328422243	0.0	0.00108092316681	2.11077338737e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00290032993171
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	6.41654956464e-05	2.46694296428e-05	6.37161826361e-05	0.0	0.0	0.000243451163697	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae	0.0	0.0	0.0	9.75067523426e-06	0.000186034974575	0.0	0.0	1.53456610143e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Arthopyreniaceae	0.0	0.0	0.0	0.000156010803748	0.0	0.000175284837862	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis	0.0	0.0	0.0	0.000185262829451	0.0	0.00045768818775	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae	0.0	0.0	0.0	9.75067523426e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	0.0	0.0	0.0	0.000204764179919	0.0	0.00013633265167	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae	1.28330991293e-05	0.0	0.0	0.000487533761713	0.0	0.00081799591002	0.0	0.0
