OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LH + LB/30_mean	C/0_mean	LH + LB/112_mean	C/30_mean	LH/112_mean	LB/30_mean	LB/112_mean	C/112_mean	taxonomy
HQ631068	18.8521400778	0.00866336325049	0.303516450431	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
FJ756957	18.8521400778	0.00866336325049	0.303516450431	1.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU0	17.6523809524	0.0136408098116	0.447865168948	1.0	207.0	3.33333333333	37.6666666667	690.5	69.0	149.333333333	23.0	21.6666666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycodaceae; g__Hanseniaspora; s__Hanseniaspora_sp.
JQ666400	17.6476190476	0.013665177399	0.447865168948	1.0	2920.66666667	256.333333333	1164.0	599.0	516.5	2234.0	1604.0	710.333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ759991	17.4429460581	0.0147527575804	0.468400053177	1.0	2.0	0.0	0.0	14.0	0.0	5.33333333333	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU42	17.3476190476	0.0152870701628	0.470656463195	1.0	34.3333333333	8.0	312.333333333	57.0	299.0	41.6666666667	359.0	533.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Tomentella; s__Tomentella_sublilacina
EU490138	16.9477518212	0.017736213102	0.529999779754	1.0	42.0	2.66666666667	16.3333333333	6.0	12.0	37.0	23.0	7.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ757763	16.7801771872	0.0188699736107	0.547768376814	1.0	13.3333333333	0.0	1.66666666667	0.0	0.0	4.66666666667	3.0	1.33333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
DQ267827	16.6021268058	0.0201499592643	0.565568096735	1.0	83.3333333333	16.3333333333	5.33333333333	0.0	6.5	57.3333333333	32.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_sp_2_TMS_2011
HQ630971	16.5425347222	0.0205964759638	0.565568096735	1.0	0.0	3.33333333333	0.0	0.0	0.0	0.666666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ624272	16.4432460195	0.0213613588613	0.571135279027	1.0	0.0	0.0	0.0	1.5	0.0	6.33333333333	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_HNY26_2B
GQ526984	16.1998234997	0.0233521454719	0.60835332819	1.0	19.3333333333	1.66666666667	9.66666666667	3.5	1.5	10.0	8.0	3.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU117	16.0297766749	0.0248457047099	0.626297329159	1.0	54.0	28.0	0.0	7.0	0.5	36.3333333333	0.0	0.0	k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__Entylomatales; f__unidentified; g__unidentified; s__Tilletiopsis_washingtonensis
JF497141	15.9828172205	0.0252738095428	0.626297329159	1.0	5.66666666667	0.0	28.0	8.0	32.5	5.0	18.0	34.6666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU370752	15.9047619048	0.0260008560016	0.628973088039	1.0	684.666666667	33.6666666667	2594.33333333	551.0	2228.5	359.666666667	1555.0	3086.33333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU224	15.742042042	0.0275804744749	0.641328943572	1.0	59.3333333333	12.3333333333	0.0	3.5	0.0	7.66666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedendophytic_fungus
New.CleanUp.ReferenceOTU65	15.6527991782	0.0284848040579	0.641328943572	1.0	0.333333333333	2.33333333333	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales_sp_TA26_23
JN905052	15.4398824878	0.0307564458234	0.641328943572	1.0	26.3333333333	9.0	0.0	15.0	0.0	11.6666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FM177657	15.3401909722	0.0318776655383	0.641328943572	1.0	3.0	0.0	0.0	0.0	3.0	1.33333333333	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
