Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
LALL-PD-KC2015-146-Control-0d-CS-ITS_S96_L001_R1_001	99.0195290525	52.0	247.966889014	74658.0	41.6666666667
LALL-PD-KC2015-146-Control-0d-CS-ITS_S96_L001_R2_001	96.122317769	53.0	249.453079375	74658.0	41.6666666667
LALL-PD-KC2015-147-Control-0d-CS-ITS_S97_L001_R1_001	98.6789659492	47.0	245.271191588	52686.0	33.3333333333
LALL-PD-KC2015-147-Control-0d-CS-ITS_S97_L001_R2_001	95.8338078427	48.0	246.057168887	52686.0	41.6666666667
LALL-PD-KC2015-148-Control-0d-CS-ITS_S98_L001_R1_001	98.8059030441	46.0	244.487265611	75622.0	41.6666666667
LALL-PD-KC2015-148-Control-0d-CS-ITS_S98_L001_R2_001	95.5951971648	46.0	245.041760334	75622.0	41.6666666667
LALL-PD-KC2015-171-Control-30d-CS-ITS_S99_L001_R1_001	98.2209981763	44.0	244.213256913	26869.0	33.3333333333
LALL-PD-KC2015-171-Control-30d-CS-ITS_S99_L001_R2_001	94.6294986788	40.0	244.221816964	26869.0	33.3333333333
LALL-PD-KC2015-172-Control-30d-CS-ITS_S100_L001_R1_001	98.8562758943	42.0	243.210713661	68548.0	33.3333333333
LALL-PD-KC2015-172-Control-30d-CS-ITS_S100_L001_R2_001	95.959036004	39.0	243.250496003	68548.0	33.3333333333
LALL-PD-KC2015-173-Control-30d-CS-ITS_S101_L001_R1_001	98.8222205741	42.0	244.179870949	67415.0	33.3333333333
LALL-PD-KC2015-173-Control-30d-CS-ITS_S101_L001_R2_001	93.9345842913	39.0	244.34031002	67415.0	33.3333333333
LALL-PD-KC2015-176-LH-30d-CS-ITS_S102_L001_R1_001	98.6496641774	44.0	245.043586492	42582.0	41.6666666667
LALL-PD-KC2015-176-LH-30d-CS-ITS_S102_L001_R2_001	95.1505330891	39.0	245.103564887	42582.0	33.3333333333
LALL-PD-KC2015-177-LH-30d-CS-ITS_S103_L001_R1_001	98.5031923865	44.0	244.388326708	33204.0	33.3333333333
LALL-PD-KC2015-177-LH-30d-CS-ITS_S103_L001_R2_001	94.9855439104	40.0	244.458920612	33204.0	41.6666666667
LALL-PD-KC2015-178-LH-30d-CS-ITS-fixed_S104_L001_R1_001	99.2946661619	43.0	243.476299588	50189.0	41.6666666667
LALL-PD-KC2015-178-LH-30d-CS-ITS-fixed_S104_L001_R2_001	95.6962681066	39.0	243.498017494	50189.0	41.6666666667
LALL-PD-KC2015-181-LH-LB-30d-CS-ITS_S105_L001_R1_001	98.8186117074	43.0	243.306434693	61961.0	41.6666666667
LALL-PD-KC2015-181-LH-LB-30d-CS-ITS_S105_L001_R2_001	95.5697939026	40.0	243.310695437	61961.0	41.6666666667
LALL-PD-KC2015-182-LH-LB-30d-CS-ITS_S106_L001_R1_001	98.7319577506	43.0	240.582093111	71291.0	33.3333333333
LALL-PD-KC2015-182-LH-LB-30d-CS-ITS_S106_L001_R2_001	95.9714409954	41.0	240.596653154	71291.0	41.6666666667
LALL-PD-KC2015-183-LH-LB-30d-CS-ITS_S107_L001_R1_001	98.7375545913	43.0	244.399264159	71211.0	33.3333333333
LALL-PD-KC2015-183-LH-LB-30d-CS-ITS_S107_L001_R2_001	95.7731249386	41.0	244.492171153	71211.0	41.6666666667
LALL-PD-KC2015-186-LB-30d-CS-ITS_S108_L001_R1_001	98.7053858808	44.0	243.995851513	69905.0	33.3333333333
LALL-PD-KC2015-186-LB-30d-CS-ITS_S108_L001_R2_001	96.0861168729	42.0	243.780301838	69905.0	33.3333333333
LALL-PD-KC2015-187-LB-30d-CS-ITS_S109_L001_R1_001	98.4808223958	43.0	243.848511689	37257.0	33.3333333333
LALL-PD-KC2015-187-LB-30d-CS-ITS_S109_L001_R2_001	95.042542341	40.0	243.747913144	37257.0	33.3333333333
LALL-PD-KC2015-188-LB-30d-CS-ITS_S110_L001_R1_001	98.6929415196	43.0	242.8424238	54856.0	41.6666666667
LALL-PD-KC2015-188-LB-30d-CS-ITS_S110_L001_R2_001	94.8866122211	40.0	242.900284381	54856.0	41.6666666667
LALL-PD-KC2015-191-Control-112d-CS-ITS_S111_L001_R1_001	98.2138096508	44.0	241.528765662	37510.0	41.6666666667
LALL-PD-KC2015-191-Control-112d-CS-ITS_S111_L001_R2_001	95.0039989336	41.0	241.463982938	37510.0	41.6666666667
LALL-PD-KC2015-192-Control-112d-CS-ITS_S112_L001_R1_001	98.3345047175	47.0	243.564372884	46953.0	41.6666666667
LALL-PD-KC2015-192-Control-112d-CS-ITS_S112_L001_R2_001	95.3613187656	47.0	243.626946095	46953.0	33.3333333333
LALL-PD-KC2015-193-Control-112d-CS-ITS_S113_L001_R1_001	98.330674695	43.0	240.060302411	44509.0	33.3333333333
LALL-PD-KC2015-193-Control-112d-CS-ITS_S113_L001_R2_001	94.7830775798	41.0	240.074546721	44509.0	41.6666666667
LALL-PD-KC2015-196-LH-112d-CS-ITS_S114_L001_R1_001	98.3693239931	43.0	241.673806905	51819.0	41.6666666667
LALL-PD-KC2015-196-LH-112d-CS-ITS_S114_L001_R2_001	94.8127134835	43.0	241.806132886	51819.0	33.3333333333
LALL-PD-KC2015-197-LH-112d-CS-ITS_S115_L001_R1_001	98.1150204889	45.0	245.259347181	35385.0	41.6666666667
LALL-PD-KC2015-197-LH-112d-CS-ITS_S115_L001_R2_001	94.14723753	43.0	245.480825208	35385.0	41.6666666667
LALL-PD-KC2015-198-LH-112d-CS-ITS_S116_L001_R1_001	98.52929374	44.0	242.019462279	49840.0	41.6666666667
LALL-PD-KC2015-198-LH-112d-CS-ITS_S116_L001_R2_001	95.0842696629	41.0	241.949839486	49840.0	33.3333333333
LALL-PD-KC2015-201-LH-LB-112d-CS-ITS_S117_L001_R1_001	98.5748412854	44.0	242.010455527	61116.0	41.6666666667
LALL-PD-KC2015-201-LH-LB-112d-CS-ITS_S117_L001_R2_001	95.4398193599	41.0	242.01680411	61116.0	41.6666666667
LALL-PD-KC2015-202-LH-LB-112d-CS-ITS_S118_L001_R1_001	98.3975908911	45.0	244.432408669	45494.0	41.6666666667
LALL-PD-KC2015-202-LH-LB-112d-CS-ITS_S118_L001_R2_001	95.0564909658	42.0	244.499362553	45494.0	33.3333333333
LALL-PD-KC2015-203-LH-LB-112d-CS-ITS_S119_L001_R1_001	98.6075637751	43.0	239.568375542	64994.0	41.6666666667
LALL-PD-KC2015-203-LH-LB-112d-CS-ITS_S119_L001_R2_001	95.5395882697	42.0	239.505646675	64994.0	41.6666666667
LALL-PD-KC2015-206-LB-112d-CS-ITS_S120_L001_R1_001	98.3064689448	44.0	245.216290565	46530.0	41.6666666667
LALL-PD-KC2015-206-LB-112d-CS-ITS_S120_L001_R2_001	94.4036105738	43.0	245.329185472	46530.0	41.6666666667
LALL-PD-KC2015-207-LB-112d-CS-ITS_S121_L001_R1_001	98.033247483	44.0	241.153660902	29897.0	41.6666666667
LALL-PD-KC2015-207-LB-112d-CS-ITS_S121_L001_R2_001	93.1665384487	43.0	241.482021608	29897.0	33.3333333333
LALL-PD-KC2015-208-LB-112d-CS-ITS_S122_L001_R1_001	98.4160587665	43.0	242.266897924	39206.0	33.3333333333
LALL-PD-KC2015-208-LB-112d-CS-ITS_S122_L001_R2_001	93.2510330052	41.0	242.404019793	39206.0	41.6666666667
