study,day,treatment,rep,ID,File R1,File R2
15 HIL HMC,0,C,1,520,LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R1_001,LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R2_001
15 HIL HMC,0,C,2,521,LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R1_001,LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R2_001
15 HIL HMC,0,C,3,522,LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R1_001,LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R2_001
15 HIL HMC,10,C,1,525,LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R1_001,LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R2_001
15 HIL HMC,10,C,2,526,LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R1_001,LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R2_001
15 HIL HMC,10,C,3,527,LALL-PD-KC2015-527-Control-10d-HMC-ITS_S126_L001_R1_001,LALL-PD-KC2015-527-Control-10d-HMC-ITS_S126_L001_R2_001
15 HIL HMC,10,LH,1,530,LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R1_001,LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R2_001
15 HIL HMC,10,LH,2,531,LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R1_001,LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R2_001
15 HIL HMC,10,LH,3,532,LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R1_001,LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R2_001
15 HIL HMC,10,LH + LB,1,535,LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R1_001,LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R2_001
15 HIL HMC,10,LH + LB,2,536,LALL-PD-KC2015-536-LH-LB-10d-HMC-ITS_S133_L001_R1_001,LALL-PD-KC2015-536-LH-LB-10d-HMC-ITS_S133_L001_R2_001
15 HIL HMC,10,LH + LB,3,537,LALL-PD-KC2015-537-LH-LB-10d-HMC-ITS_S134_L001_R1_001,LALL-PD-KC2015-537-LH-LB-10d-HMC-ITS_S134_L001_R2_001
15 HIL HMC,10,LB,1,540,LALL-PD-KC2015-540-LB-10d-HMC-ITS_S135_L001_R1_001,LALL-PD-KC2015-540-LB-10d-HMC-ITS_S135_L001_R2_001
15 HIL HMC,10,LB,2,541,LALL-PD-KC2015-541-LB-10d-HMC-ITS_S136_L001_R1_001,LALL-PD-KC2015-541-LB-10d-HMC-ITS_S136_L001_R2_001
15 HIL HMC,10,LB,3,542,LALL-PD-KC2015-542-LB-10d-HMC-ITS_S137_L001_R1_001,LALL-PD-KC2015-542-LB-10d-HMC-ITS_S137_L001_R2_001
15 HIL HMC,30,C,1,545,LALL-PD-KC2015-545-Control-30d-HMC-ITS_S138_L001_R1_001,LALL-PD-KC2015-545-Control-30d-HMC-ITS_S138_L001_R2_001
15 HIL HMC,30,C,2,546,LALL-PD-KC2015-546-Control-30d-HMC-ITS_S139_L001_R1_001,LALL-PD-KC2015-546-Control-30d-HMC-ITS_S139_L001_R2_001
15 HIL HMC,30,C,3,547,LALL-PD-KC2015-547-Control-30d-HMC-ITS_S140_L001_R1_001,LALL-PD-KC2015-547-Control-30d-HMC-ITS_S140_L001_R2_001
15 HIL HMC,30,LH,1,550,LALL-PD-KC2015-550-LH-30d-HMC-ITS_S141_L001_R1_001,LALL-PD-KC2015-550-LH-30d-HMC-ITS_S141_L001_R2_001
15 HIL HMC,30,LH,2,551,LALL-PD-KC2015-551-LH-30d-HMC-ITS_S142_L001_R1_001,LALL-PD-KC2015-551-LH-30d-HMC-ITS_S142_L001_R2_001
15 HIL HMC,30,LH,3,552,LALL-PD-KC2015-552-LH-30d-HMC-ITS_S143_L001_R1_001,LALL-PD-KC2015-552-LH-30d-HMC-ITS_S143_L001_R2_001
15 HIL HMC,30,LH + LB,1,555,LALL-PD-KC2015-555-LH-LB-30d-HMC-ITS_S144_L001_R1_001,LALL-PD-KC2015-555-LH-LB-30d-HMC-ITS_S144_L001_R2_001
15 HIL HMC,30,LH + LB,2,556,LALL-PD-KC2015-556-LH-LB-30d-HMC-ITS_S145_L001_R1_001,LALL-PD-KC2015-556-LH-LB-30d-HMC-ITS_S145_L001_R2_001
15 HIL HMC,30,LH + LB,3,557,LALL-PD-KC2015-557-LH-LB-30d-HMC-ITS_S146_L001_R1_001,LALL-PD-KC2015-557-LH-LB-30d-HMC-ITS_S146_L001_R2_001
15 HIL HMC,30,LB,1,560,LALL-PD-KC2015-560-LB-30d-HMC-ITS_S147_L001_R1_001,LALL-PD-KC2015-560-LB-30d-HMC-ITS_S147_L001_R2_001
15 HIL HMC,30,LB,2,561,LALL-PD-KC2015-561-LB-30d-HMC-ITS_S148_L001_R1_001,LALL-PD-KC2015-561-LB-30d-HMC-ITS_S148_L001_R2_001
15 HIL HMC,30,LB,3,562,LALL-PD-KC2015-562-LB-30d-HMC-ITS_S149_L001_R1_001,LALL-PD-KC2015-562-LB-30d-HMC-ITS_S149_L001_R2_001
15 HIL HMC,92,C,1,565,LALL-PD-KC2015-565-Control-92d-HMC-ITS_S150_L001_R1_001,LALL-PD-KC2015-565-Control-92d-HMC-ITS_S150_L001_R2_001
15 HIL HMC,92,C,2,566,LALL-PD-KC2015-566-Control-92d-HMC-ITS_S151_L001_R1_001,LALL-PD-KC2015-566-Control-92d-HMC-ITS_S151_L001_R2_001
15 HIL HMC,92,C,3,567,LALL-PD-KC2015-567-Control-92d-HMC-ITS_S152_L001_R1_001,LALL-PD-KC2015-567-Control-92d-HMC-ITS_S152_L001_R2_001
15 HIL HMC,92,LH,1,570,LALL-PD-KC2015-570-LH-92d-HMC-ITS_S153_L001_R1_001,LALL-PD-KC2015-570-LH-92d-HMC-ITS_S153_L001_R2_001
15 HIL HMC,92,LH,2,571,LALL-PD-KC2015-571-LH-92d-HMC-ITS_S154_L001_R1_001,LALL-PD-KC2015-571-LH-92d-HMC-ITS_S154_L001_R2_001
15 HIL HMC,92,LH,3,572,LALL-PD-KC2015-574-LH-92d-HMC-ITS_S155_L001_R1_001,LALL-PD-KC2015-574-LH-92d-HMC-ITS_S155_L001_R2_001
15 HIL HMC,92,LH + LB,1,575,LALL-PD-KC2015-575-LH-LB-92d-HMC-ITS_S156_L001_R1_001,LALL-PD-KC2015-575-LH-LB-92d-HMC-ITS_S156_L001_R2_001
15 HIL HMC,92,LH + LB,2,576,LALL-PD-KC2015-576-LH-LB-92d-HMC-ITS_S157_L001_R1_001,LALL-PD-KC2015-576-LH-LB-92d-HMC-ITS_S157_L001_R2_001
15 HIL HMC,92,LH + LB,3,577,LALL-PD-KC2015-577-LH-LB-92d-HMC-ITS_S158_L001_R1_001,LALL-PD-KC2015-577-LH-LB-92d-HMC-ITS_S158_L001_R2_001
15 HIL HMC,92,LB,1,580,LALL-PD-KC2015-580-LB-92d-HMC-ITS_S159_L001_R1_001,LALL-PD-KC2015-580-LB-92d-HMC-ITS_S159_L001_R2_001
15 HIL HMC,92,LB,2,581,LALL-PD-KC2015-581-LB-92d-HMC-ITS_S160_L001_R1_001,LALL-PD-KC2015-581-LB-92d-HMC-ITS_S160_L001_R2_001
15 HIL HMC,92,LB,3,582,LALL-PD-KC2015-582-LB-92d-HMC-ITS_S161_L001_R1_001,LALL-PD-KC2015-582-LB-92d-HMC-ITS_S161_L001_R2_001
