Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB/30+120h	LB-AS/90+140h	64.0	10.296601381	22.6	0.0	-2.84309546983	1.0
C-AS/90	LB/30	30.86	7.29344911547	27.7	0.0	-0.353759813071	1.0
LB/30+120h	LB/30	64.0	10.296601381	27.7	0.0	-2.49285907138	1.0
LB+LP/30+120h	LB/30	66.4	0.0	27.7	0.0	None	None
LB-AS/90+50h	C/30+120h	15.8	0.0	73.6	0.0	None	None
C/30	C/30+120h	56.0	0.0	73.6	0.0	None	None
LB-AS/90+50h	C-AS/90	15.8	0.0	30.86	7.29344911547	-1.68595657748	1.0
C/0	LB/30+120h	108.0	11.9262315926	64.0	10.296601381	4.32531231504	1.0
C/90+50h	LB/30	31.3	3.61773409747	27.7	0.0	-0.812494122604	1.0
C/90+50h	C-AS/90	31.3	3.61773409747	30.86	7.29344911547	0.108089512849	1.0
C-AS/90+50h	C/30+120h	32.58	3.19962497802	73.6	0.0	10.4676923013	1.0
C/30	C/90	56.0	0.0	42.1	2.6	3.08660336221	1.0
LB-AS/90+50h	C/90	15.8	0.0	42.1	2.6	-5.84012003065	1.0
C/90+140h	LB/90+140h	29.825	4.94589476233	39.0	0.0	1.43693401939	1.0
LB+LP/90	LB/30+120h	13.5	0.0	64.0	10.296601381	-3.46802708277	1.0
LB+LP/30+120h	C/30	66.4	0.0	56.0	0.0	None	None
C/90+140h	LB+LP/90	29.825	4.94589476233	13.5	0.0	-2.5567245631	1.0
C/0	C/90+50h	108.0	11.9262315926	31.3	3.61773409747	12.0105635576	1.0
LB/30	LB-AS/90+140h	27.7	0.0	22.6	0.0	None	None
LB/90+140h	LB/30	39.0	0.0	27.7	0.0	None	None
C/90+140h	LB/30+120h	29.825	4.94589476233	64.0	10.296601381	-4.90610402534	1.0
C/0	LB-AS/90+140h	108.0	11.9262315926	22.6	0.0	-5.54664355121	1.0
C-AS/90+140h	C/0	27.34	5.22440427226	108.0	11.9262315926	-11.9778690045	0.92
C/30	LB-AS/90+140h	56.0	0.0	22.6	0.0	None	None
C/0	LB/90+140h	108.0	11.9262315926	39.0	0.0	-4.48148015261	1.0
C-AS/90+140h	LB/30+120h	27.34	5.22440427226	64.0	10.296601381	-5.7674852155	1.0
LB+LP/30+120h	LB-AS/90+140h	66.4	0.0	22.6	0.0	None	None
C-AS/90+140h	C-AS/90	27.34	5.22440427226	30.86	7.29344911547	-0.784702313192	1.0
C-AS/90+50h	LB-AS/90+140h	32.58	3.19962497802	22.6	0.0	-2.54674717619	1.0
LB/90+140h	C/30+120h	39.0	0.0	73.6	0.0	None	None
C-AS/90+140h	C/30+120h	27.34	5.22440427226	73.6	0.0	7.22974905183	1.0
C/30+120h	LB/30	73.6	0.0	27.7	0.0	None	None
LB+LP/30+120h	LB+LP/90	66.4	0.0	13.5	0.0	None	None
LB-AS/90+50h	LB/30	15.8	0.0	27.7	0.0	None	None
C-AS/90+50h	LB+LP/30+120h	32.58	3.19962497802	66.4	0.0	8.63035966922	1.0
C/90+140h	C/30+120h	29.825	4.94589476233	73.6	0.0	6.85578056661	1.0
C/0	C-AS/90+50h	108.0	11.9262315926	32.58	3.19962497802	11.945067842	0.92
