OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C/0_mean	S2-3H-LATE/56_mean	C-3H-LATE/56_mean	S2-NS/56_mean	S2-3H/56_mean	C-NS/56_mean	taxonomy
GU053892	14.8954390613	0.0108185795464	0.12456821592	1.0	15.0	0.5	9.25	43.6666666667	62.6666666667	43.6666666667	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Cryptococcus; s__Cryptococcus_luteolus
GU174360	14.7099119786	0.011676488168	0.12817679348	1.0	134.0	0.0	0.0	0.666666666667	0.333333333333	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
FJ762984	14.6371958866	0.0120304162572	0.12817679348	1.0	38.3333333333	6.25	35.0	167.666666667	148.333333333	87.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AM901910	14.6259345192	0.0120861492612	0.12817679348	1.0	105.0	1.0	1.5	36.6666666667	14.6666666667	42.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
GQ516443	14.4217824968	0.0131409320577	0.135789631263	1.0	382.666666667	3.0	6.0	11.3333333333	23.0	48.6666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU892	14.2289590255	0.0142186199002	0.141714305166	1.0	0.666666666667	0.0	0.25	5.33333333333	3.33333333333	4.66666666667	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Bullera; s__Bullera_sp_TMS_2011
New.ReferenceOTU15	14.1552123244	0.0146529731405	0.141714305166	1.0	0.0	9491.0	17099.25	0.0	0.333333333333	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Incertae_sedis; f__Monascaceae; g__Monascus; s__Monascus_purpureus
GU721692	14.1307359307	0.0147999473562	0.141714305166	1.0	34.3333333333	0.0	0.0	1.0	0.666666666667	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
New.ReferenceOTU11	14.0780952381	0.0151208811964	0.141714305166	1.0	0.0	0.0	0.0	212.333333333	5.33333333333	22.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU4	14.0081514924	0.0155577195719	0.142494567897	1.0	119.333333333	24.0	135.5	527.666666667	441.666666667	553.333333333	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Hannaella; s__Hannaella_oryzae
GU721312	13.8572736787	0.0165419070538	0.144379839245	1.0	39.0	1.0	1.25	29.0	239.0	24.3333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
EU288196	13.8261904762	0.0167519987276	0.144379839245	1.0	1992.0	82.75	515.5	2576.66666667	2095.66666667	3497.33333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_tropicalis
New.CleanUp.ReferenceOTU828	13.8135245902	0.0168383435348	0.144379839245	1.0	0.0	0.0	1.0	2.66666666667	4.33333333333	2.66666666667	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Hannaella; s__Hannaella_oryzae
FJ210471	13.7577799166	0.0172234891663	0.144605544458	1.0	45.3333333333	0.0	0.0	1.0	0.333333333333	1.33333333333	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.ReferenceOTU2	13.2829537612	0.0208666607817	0.160134743866	1.0	0.0	0.0	0.0	114.666666667	41.3333333333	62.3333333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_intermedia
New.ReferenceOTU13	13.1401206943	0.0221004776597	0.160134743866	1.0	1.0	0.25	6.25	1.33333333333	9.33333333333	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_humilis
GQ526984	13.1108225108	0.0223620814982	0.160134743866	1.0	16.0	0.25	0.0	0.0	2.33333333333	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU474	13.0905511811	0.022544822156	0.160134743866	1.0	2.66666666667	0.5	11.0	35.3333333333	58.3333333333	45.6666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
EU480006	12.7061677062	0.0262935291899	0.160134743866	1.0	13.6666666667	0.0	0.25	0.666666666667	0.0	1.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
JN905179	12.6692163178	0.0266838301058	0.160134743866	1.0	0.666666666667	0.5	1.25	18.0	2.66666666667	12.3333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AF294700	12.6254876463	0.0271528827872	0.160134743866	1.0	14.6666666667	0.0	0.0	0.666666666667	0.0	0.666666666667	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_prolifica
JN183441	12.4664750958	0.0289259034301	0.160134743866	1.0	3.66666666667	0.0	0.0	85.6666666667	5.0	43.3333333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Kodamaea; s__Kodamaea_ohmeri
GQ515349	12.4500863558	0.029114807325	0.160134743866	1.0	545.333333333	13.75	0.0	12.0	9.66666666667	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HQ630976	12.4271334938	0.0293813549896	0.160134743866	1.0	242.666666667	1.5	24.5	58.0	0.0	54.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721777	12.3831521739	0.0298986304461	0.160134743866	1.0	9.33333333333	0.0	0.25	0.666666666667	0.666666666667	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721778	12.2934782609	0.0309803807391	0.160134743866	1.0	12.3333333333	0.5	0.0	0.333333333333	0.666666666667	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU806	11.967428088	0.035236826965	0.160134743866	1.0	0.333333333333	0.0	0.75	2.0	2.33333333333	2.33333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ513952	11.962962963	0.0352988128756	0.160134743866	1.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU100	11.962962963	0.0352988128756	0.160134743866	1.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Bullera; s__Bullera_sp_TMS_2011
New.CleanUp.ReferenceOTU291	11.962962963	0.0352988128756	0.160134743866	1.0	1.33333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU513	11.962962963	0.0352988128756	0.160134743866	1.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU616	11.962962963	0.0352988128756	0.160134743866	1.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU801	11.962962963	0.0352988128756	0.160134743866	1.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
