Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C/90+140h	C/90+50h	57.419375	17.2999591499	73.7453333333	12.1395341042	-1.46417735233	1.0
LB/90+140h	C/90	82.8666666667	0.0	64.1692261905	0.18494047619	58.3699821395	1.0
LB+LP/90	C/90	15.3533333333	0.0	64.1692261905	0.18494047619	-152.394270105	1.0
C-AS/90+140h	C/90+50h	48.5212380952	13.2920504207	73.7453333333	12.1395341042	-2.80247445437	1.0
C/90+50h	C/90	73.7453333333	12.1395341042	64.1692261905	0.18494047619	0.942796146382	1.0
C/0	C/30	127.819809294	16.0713325652	84.2179761905	0.0	-2.10149560145	1.0
C/30	C/90+50h	84.2179761905	0.0	73.7453333333	12.1395341042	0.704382640448	1.0
LB-AS/90+50h	C/90+50h	20.8583333333	0.0	73.7453333333	12.1395341042	-3.55714266337	1.0
C-AS/90+140h	LB-AS/90+140h	48.5212380952	13.2920504207	60.1	0.0	0.711253659699	1.0
LB+LP/30+120h	C-AS/90	95.7249200799	0.0	63.2382380952	24.5842575376	1.07895325802	1.0
LB-AS/90+50h	C/30	20.8583333333	0.0	84.2179761905	0.0	None	None
LB/90+140h	LB-AS/90+140h	82.8666666667	0.0	60.1	0.0	None	None
