Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
LALL-PD-KC2015-557-LH-LB-30d-HMC-ITS_S146_L001_R2_001	94.5602388975	47.0	249.919674744	49561.0	33.3333333333
LALL-PD-KC2015-560-LB-30d-HMC-ITS_S147_L001_R1_001	98.1322727151	45.0	249.118217731	37211.0	33.3333333333
LALL-PD-KC2015-560-LB-30d-HMC-ITS_S147_L001_R2_001	94.5956840719	45.0	249.084733009	37211.0	41.6666666667
LALL-PD-KC2015-561-LB-30d-HMC-ITS_S148_L001_R1_001	98.1575094611	45.0	249.173006271	36201.0	33.3333333333
LALL-PD-KC2015-561-LB-30d-HMC-ITS_S148_L001_R2_001	94.9780392807	45.0	249.423220353	36201.0	33.3333333333
LALL-PD-KC2015-562-LB-30d-HMC-ITS_S149_L001_R1_001	98.0792023984	45.0	247.228125218	28686.0	41.6666666667
LALL-PD-KC2015-562-LB-30d-HMC-ITS_S149_L001_R2_001	93.8646029422	44.0	247.199191243	28686.0	33.3333333333
LALL-PD-KC2015-565-Control-92d-HMC-ITS_S150_L001_R1_001	98.5446120946	46.0	246.81771019	50502.0	41.6666666667
LALL-PD-KC2015-565-Control-92d-HMC-ITS_S150_L001_R2_001	95.1744485367	46.0	246.746980318	50502.0	33.3333333333
LALL-PD-KC2015-566-Control-92d-HMC-ITS_S151_L001_R1_001	98.3978044956	44.0	237.976894929	38260.0	41.6666666667
LALL-PD-KC2015-566-Control-92d-HMC-ITS_S151_L001_R2_001	94.7856769472	43.0	238.100836383	38260.0	33.3333333333
LALL-PD-KC2015-567-Control-92d-HMC-ITS_S152_L001_R1_001	98.3611763959	43.0	237.329479769	31486.0	41.6666666667
LALL-PD-KC2015-567-Control-92d-HMC-ITS_S152_L001_R2_001	94.8770882297	42.0	237.430413517	31486.0	41.6666666667
LALL-PD-KC2015-570-LH-92d-HMC-ITS_S153_L001_R1_001	98.5832528774	46.0	248.219606652	92183.0	41.6666666667
LALL-PD-KC2015-570-LH-92d-HMC-ITS_S153_L001_R2_001	95.7953201783	47.0	248.460345183	92183.0	41.6666666667
LALL-PD-KC2015-571-LH-92d-HMC-ITS_S154_L001_R1_001	98.4041251244	46.0	249.221154317	61283.0	33.3333333333
LALL-PD-KC2015-571-LH-92d-HMC-ITS_S154_L001_R2_001	94.4405463179	47.0	249.342101398	61283.0	41.6666666667
LALL-PD-KC2015-574-LH-92d-HMC-ITS_S155_L001_R1_001	98.6446376507	46.0	249.058364634	76142.0	41.6666666667
LALL-PD-KC2015-574-LH-92d-HMC-ITS_S155_L001_R2_001	95.3415985921	48.0	249.232775603	76142.0	33.3333333333
LALL-PD-KC2015-575-LH-LB-92d-HMC-ITS_S156_L001_R1_001	97.7050209802	45.0	247.488710644	35033.0	41.6666666667
LALL-PD-KC2015-575-LH-LB-92d-HMC-ITS_S156_L001_R2_001	94.6764479205	46.0	247.632689179	35033.0	41.6666666667
LALL-PD-KC2015-576-LH-LB-92d-HMC-ITS_S157_L001_R1_001	97.2714954422	45.0	249.818612959	16236.0	41.6666666667
LALL-PD-KC2015-576-LH-LB-92d-HMC-ITS_S157_L001_R2_001	92.8984971668	47.0	250.197277655	16236.0	41.6666666667
LALL-PD-KC2015-577-LH-LB-92d-HMC-ITS_S158_L001_R1_001	97.6987723853	46.0	246.965547587	22727.0	41.6666666667
LALL-PD-KC2015-577-LH-LB-92d-HMC-ITS_S158_L001_R2_001	93.3867206406	46.0	247.265543187	22727.0	33.3333333333
LALL-PD-KC2015-580-LB-92d-HMC-ITS_S159_L001_R1_001	96.9598534066	46.0	250.368149259	12006.0	33.3333333333
LALL-PD-KC2015-580-LB-92d-HMC-ITS_S159_L001_R2_001	92.3121772447	46.0	250.512077295	12006.0	41.6666666667
LALL-PD-KC2015-581-LB-92d-HMC-ITS_S160_L001_R1_001	98.2990804482	45.0	248.033792272	39802.0	41.6666666667
LALL-PD-KC2015-581-LB-92d-HMC-ITS_S160_L001_R2_001	94.6158484498	46.0	248.364504296	39802.0	41.6666666667
LALL-PD-KC2015-582-LB-92d-HMC-ITS_S161_L001_R1_001	97.9012345679	45.0	249.091752036	38070.0	41.6666666667
LALL-PD-KC2015-582-LB-92d-HMC-ITS_S161_L001_R2_001	93.645915419	46.0	249.421959548	38070.0	41.6666666667
