Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R1_001	pass	0.0	fail	248.863246233	Sanger / Illumina 1.9	fail	pass	warn	158-251	Conventional base calls	pass	fail	41944.0	pass	fail	fail	48.0	1.7523364486	LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R2_001	pass	0.0	fail	248.856141522	Sanger / Illumina 1.9	warn	pass	warn	158-251	Conventional base calls	pass	fail	41944.0	pass	fail	fail	49.0	4.64905588404	LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R1_001	pass	0.0	fail	248.531633851	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	60489.0	pass	fail	fail	49.0	1.3986013986	LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R2_001	pass	0.0	fail	248.689083966	Sanger / Illumina 1.9	fail	warn	warn	179-251	Conventional base calls	pass	fail	60489.0	pass	fail	fail	50.0	5.27533931789	LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R1_001	pass	0.0	fail	248.903743497	Sanger / Illumina 1.9	fail	pass	warn	157-251	Conventional base calls	pass	fail	58822.0	pass	fail	fail	48.0	1.60314168168	LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R2_001	pass	0.0	fail	248.814763184	Sanger / Illumina 1.9	fail	warn	warn	157-251	Conventional base calls	pass	fail	58822.0	pass	fail	fail	49.0	5.28543742137	LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R1_001	pass	0.0	fail	247.637254902	Sanger / Illumina 1.9	fail	pass	warn	184-251	Conventional base calls	pass	fail	29784.0	pass	fail	fail	40.0	1.61496105291	LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R2_001	pass	0.0	fail	248.296266452	Sanger / Illumina 1.9	fail	pass	warn	184-251	Conventional base calls	pass	fail	29784.0	pass	fail	fail	36.0	5.24442653774	LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R1_001	pass	0.0	fail	246.377021844	Sanger / Illumina 1.9	fail	pass	warn	178-251	Conventional base calls	pass	fail	23988.0	pass	fail	fail	40.0	1.64665666166	LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R2_001	pass	0.0	fail	246.81982658	Sanger / Illumina 1.9	fail	pass	warn	178-251	Conventional base calls	pass	fail	23988.0	pass	fail	fail	36.0	5.18175754544	LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R1_001	pass	0.0	fail	232.215533333	Sanger / Illumina 1.9	warn	pass	warn	180-251	Conventional base calls	pass	fail	80897.0	pass	fail	fail	42.0	1.33008640617	LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R2_001	pass	0.0	fail	232.235682411	Sanger / Illumina 1.9	fail	pass	warn	180-251	Conventional base calls	pass	fail	80897.0	pass	fail	fail	42.0	4.18927772352	LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R1_001	pass	0.0	fail	248.949077364	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	81614.0	pass	fail	fail	46.0	1.50831965104	LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R2_001	pass	0.0	fail	249.012755165	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	81614.0	pass	fail	fail	45.0	5.59830421251	LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R1_001	pass	0.0	fail	248.603021653	Sanger / Illumina 1.9	warn	pass	warn	38-251	Conventional base calls	pass	fail	63409.0	pass	fail	fail	45.0	1.69218880601	LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R2_001	pass	0.0	fail	248.646769386	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	63409.0	pass	fail	fail	45.0	5.55914775505	LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R1_001	pass	0.0	fail	248.349431932	Sanger / Illumina 1.9	warn	pass	warn	182-251	Conventional base calls	pass	fail	24909.0	pass	fail	fail	45.0	2.20000802923	LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R2_001	pass	0.0	fail	248.427154844	Sanger / Illumina 1.9	warn	pass	warn	183-251	Conventional base calls	pass	fail	24909.0	pass	fail	fail	45.0	7.29053755671	LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-536-LH-LB-10d-HMC-ITS_S133_L001_R1_001	pass	0.0	fail	248.58880539	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	38590.0	pass	fail	fail	46.0	1.86835967867	LALL-PD-KC2015-536-LH-LB-10d-HMC-ITS_S133_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-536-LH-LB-10d-HMC-ITS_S133_L001_R2_001	pass	0.0	fail	248.802980047	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	38590.0	pass	fail	fail	46.0	6.43171806167	LALL-PD-KC2015-536-LH-LB-10d-HMC-ITS_S133_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-537-LH-LB-10d-HMC-ITS_S134_L001_R1_001	pass	0.0	fail	250.243642463	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	36964.0	pass	fail	fail	44.0	1.59073693323	LALL-PD-KC2015-537-LH-LB-10d-HMC-ITS_S134_L001_R1_001.fastq.gz	pass	pass
