study,day,treatment,rep,ID,File R1,File R2
V-HMC,30+5d,LB,2,837,4924-837-MSITS2a_R1,4924-837-MSITS2a_R2
V-HMC,30+5d,LB,3,838,4924-838-MSITS2a_R1,4924-838-MSITS2a_R2
V-HMC,30+5d,LB,4,839,4924-839-MSITS2a_R1,4924-839-MSITS2a_R2
V-HMC,30+5d,LB+LP,1,841,4924-841-MSITS2a_R1,4924-841-MSITS2a_R2
V-HMC,30+5d,LB+LP,2,842,4924-842-MSITS2a_R1,4924-842-MSITS2a_R2
V-HMC,30+5d,LB+LP,3,843,4924-843-MSITS2a_R1,4924-843-MSITS2a_R2
V-HMC,30+5d,LB+LP,4,844,4924-844-MSITS2a_R1,4924-844-MSITS2a_R2
V-HMC,90,C,1,447,5101-447-MSITS2a_R1,5101-447-MSITS2a_R2
V-HMC,90,C,2,448,5101-448-MSITS2a_R1,5101-448-MSITS2a_R2
V-HMC,90,C,3,449,5101-449-MSITS2a_R1,5101-449-MSITS2a_R2
V-HMC,90,C,4,450,5101-450-MSITS2a_R1,5101-450-MSITS2a_R2
V-HMC,90,C,5,451,5101-451-MSITS2a_R1,5101-451-MSITS2a_R2
V-HMC,90,LB,1,452,5101-452-MSITS2a_R1,5101-452-MSITS2a_R2
V-HMC,90,LB,2,453,5101-453-MSITS2a_R1,5101-453-MSITS2a_R2
V-HMC,90,LB,3,454,5101-454-MSITS2a_R1,5101-454-MSITS2a_R2
V-HMC,90,LB,4,455,5101-455-MSITS2a_R1,5101-455-MSITS2a_R2
V-HMC,90,LB,5,456,5101-456-MSITS2a_R1,5101-456-MSITS2a_R2
V-HMC,90,LB+LP,1,457,5101-457-MSITS2a_R1,5101-457-MSITS2a_R2
V-HMC,90,LB+LP,2,458,5101-458-MSITS2a_R1,5101-458-MSITS2a_R2
V-HMC,90,LB+LP,3,459,5101-459-MSITS2a_R1,5101-459-MSITS2a_R2
V-HMC,90,LB+LP,4,460,5101-460-MSITS2a_R1,5101-460-MSITS2a_R2
V-HMC,90,LB+LP,5,461,5101-461-MSITS2a_R1,5101-461-MSITS2a_R2
V-HMC,90,C-AS,1,757,5101-757-MSITS2a_R1,5101-757-MSITS2a_R2
V-HMC,90,C-AS,2,758,5101-758-MSITS2a_R1,5101-758-MSITS2a_R2
V-HMC,90,C-AS,3,759,5101-759-MSITS2a_R1,5101-759-MSITS2a_R2
V-HMC,90,C-AS,4,760,5101-760-MSITS2a_R1,5101-760-MSITS2a_R2
V-HMC,90,C-AS,5,761,5101-761-MSITS2a_R1,5101-761-MSITS2a_R2
V-HMC,90,LB-AS,1,762,5101-762-MSITS2a_R1,5101-762-MSITS2a_R2
V-HMC,90,LB-AS,2,763,5101-763-MSITS2a_R1,5101-763-MSITS2a_R2
V-HMC,90,LB-AS,3,764,5101-764-MSITS2a_R1,5101-764-MSITS2a_R2
V-HMC,90,LB-AS,4,765,5101-765-MSITS2a_R1,5101-765-MSITS2a_R2
V-HMC,90,LB-AS,5,766,5101-766-MSITS2a_R1,5101-766-MSITS2a_R2
V-HMC,90+50h,C,1,1016,5101-1016-MSITS2a_R1,5101-1016-MSITS2a_R2
V-HMC,90+50h,C,2,1017,5101-1017-MSITS2a_R1,5101-1017-MSITS2a_R2
V-HMC,90+50h,C,3,1018,5101-1018-MSITS2a_R1,5101-1018-MSITS2a_R2
V-HMC,90+50h,C,4,1019,5101-1019-MSITS2a_R1,5101-1019-MSITS2a_R2
V-HMC,90+50h,C,5,1020,5101-1020-MSITS2a_R1,5101-1020-MSITS2a_R2
V-HMC,90+50h,LB,1,1021,5101-1021-MSITS2a_R1,5101-1021-MSITS2a_R2
V-HMC,90+50h,LB,2,1022,5101-1022-MSITS2a_R1,5101-1022-MSITS2a_R2
V-HMC,90+50h,LB,3,1023,5101-1023-MSITS2a_R1,5101-1023-MSITS2a_R2
V-HMC,90+50h,LB,4,1024,5101-1024-MSITS2a_R1,5101-1024-MSITS2a_R2
V-HMC,90+50h,LB,5,1025,5101-1025-MSITS2a_R1,5101-1025-MSITS2a_R2
V-HMC,90+50h,LB+LP,1,1026,5101-1026-MSITS2a_R1,5101-1026-MSITS2a_R2
V-HMC,90+50h,LB+LP,2,1027,5101-1027-MSITS2a_R1,5101-1027-MSITS2a_R2
V-HMC,90+50h,LB+LP,3,1028,5101-1028-MSITS2a_R1,5101-1028-MSITS2a_R2
V-HMC,90+50h,LB+LP,4,1029,5101-1029-MSITS2a_R1,5101-1029-MSITS2a_R2
V-HMC,90+50h,LB+LP,5,1030,5101-1030-MSITS2a_R1,5101-1030-MSITS2a_R2
V-HMC,90+50h,C-AS,1,1031,5101-1031-MSITS2a_R1,5101-1031-MSITS2a_R2
V-HMC,90+50h,C-AS,2,1032,5101-1032-MSITS2a_R1,5101-1032-MSITS2a_R2
V-HMC,90+50h,C-AS,3,1033,5101-1033-MSITS2a_R1,5101-1033-MSITS2a_R2
V-HMC,90+50h,C-AS,4,1034,5101-1034-MSITS2a_R1,5101-1034-MSITS2a_R2
V-HMC,90+50h,C-AS,5,1035,5101-1035-MSITS2a_R1,5101-1035-MSITS2a_R2
V-HMC,90+50h,LB-AS,1,1036,5101-1036-MSITS2a_R1,5101-1036-MSITS2a_R2
V-HMC,90+50h,LB-AS,2,1037,5101-1037-MSITS2a_R1,5101-1037-MSITS2a_R2
V-HMC,90+50h,LB-AS,3,1038,5101-1038-MSITS2a_R1,5101-1038-MSITS2a_R2
V-HMC,90+50h,LB-AS,4,1039,5101-1039-MSITS2a_R1,5101-1039-MSITS2a_R2
V-HMC,90+50h,LB-AS,5,1040,5101-1040-MSITS2a_R1,5101-1040-MSITS2a_R2
V-HMC,90+140,C,1,1138,5101-1138-MSITS2a_R1,5101-1138-MSITS2a_R2
V-HMC,90+140,C,2,1139,5101-1139-MSITS2a_R1,5101-1139-MSITS2a_R2
V-HMC,90+140,C,3,1140,5101-1140-MSITS2a_R1,5101-1140-MSITS2a_R2
V-HMC,90+140,C,4,1141,5101-1141-MSITS2a_R1,5101-1141-MSITS2a_R2
V-HMC,90+140,C,5,1142,5101-1142-MSITS2a_R1,5101-1142-MSITS2a_R2
V-HMC,90+140,LB,1,1143,5101-1143-MSITS2a_R1,5101-1143-MSITS2a_R2
V-HMC,90+140,LB,2,1144,5101-1144-MSITS2a_R1,5101-1144-MSITS2a_R2
V-HMC,90+140,LB,3,1145,5101-1145-MSITS2a_R1,5101-1145-MSITS2a_R2
V-HMC,90+140,LB,4,1146,5101-1146-MSITS2a_R1,5101-1146-MSITS2a_R2
V-HMC,90+140,LB,5,1147,5101-1147-MSITS2a_R1,5101-1147-MSITS2a_R2
V-HMC,90+140,LB+LP,1,1148,5101-1148-MSITS2a_R1,5101-1148-MSITS2a_R2
V-HMC,90+140,LB+LP,2,1149,5101-1149-MSITS2a_R1,5101-1149-MSITS2a_R2
V-HMC,90+140,LB+LP,3,1150,5101-1150-MSITS2a_R1,5101-1150-MSITS2a_R2
V-HMC,90+140,LB+LP,4,1151,5101-1151-MSITS2a_R1,5101-1151-MSITS2a_R2
V-HMC,90+140,LB+LP,5,1152,5101-1152-MSITS2a_R1,5101-1152-MSITS2a_R2
V-HMC,90+140,C-AS,1,1153,5101-1153-MSITS2a_R1,5101-1153-MSITS2a_R2
V-HMC,90+140,C-AS,2,1154,5101-1154-MSITS2a_R1,5101-1154-MSITS2a_R2
V-HMC,90+140,C-AS,3,1155,5101-1155-MSITS2a_R1,5101-1155-MSITS2a_R2
V-HMC,90+140,C-AS,4,1156,5101-1156-MSITS2a_R1,5101-1156-MSITS2a_R2
V-HMC,90+140,C-AS,5,1157,5101-1157-MSITS2a_R1,5101-1157-MSITS2a_R2
V-HMC,90+140,LB-AS,1,1158,5101-1158-MSITS2a_R1,5101-1158-MSITS2a_R2
V-HMC,90+140,LB-AS,2,1159,5101-1159-MSITS2a_R1,5101-1159-MSITS2a_R2
V-HMC,90+140,LB-AS,3,1160,5101-1160-MSITS2a_R1,5101-1160-MSITS2a_R2
V-HMC,90+140,LB-AS,4,1161,5101-1161-MSITS2a_R1,5101-1161-MSITS2a_R2
V-HMC,90+140,LB-AS,5,1162,5101-1162-MSITS2a_R1,5101-1162-MSITS2a_R2
