"study"	"domain"	"ID"	"key"	"avg_sequence_length.initial"	"Total.Sequences.initial"	"avg_sequence_length.flashed"	"Total.Sequences.flashed"	"flash.pct.calc"	"Total.Sequences.picked"	"pick.pct.calc"
"15hilcs"	"fungi"	"173"	"15hilcs.fungi.173"	244.2600904845	67415	269.514856041	45638	0.676971000519172	40011	0.876703624172838
"15hilcs"	"fungi"	"176"	"15hilcs.fungi.176"	245.0735756895	42582	263.486257374	22885	0.537433657413931	19931	0.870919816473673
"15hilcs"	"fungi"	"177"	"15hilcs.fungi.177"	244.42362366	33204	264.250390226	18579	0.559541019154319	15435	0.830776683352172
"15hilcs"	"fungi"	"178"	"15hilcs.fungi.178"	243.487158541	50189	264.241083418	30533	0.608360397696706	NA	NA
"15hilcs"	"fungi"	"181"	"15hilcs.fungi.181"	243.308565065	61961	259.155924403	38679	0.624247510530818	34554	0.893352982238424
"15hilcs"	"fungi"	"182"	"15hilcs.fungi.182"	240.5893731325	71291	257.284552846	50307	0.70565709556606	47605	0.946289780746218
"15hilcs"	"fungi"	"183"	"15hilcs.fungi.183"	244.445717656	71211	266.012942419	49218	0.691157265029279	20531	0.417144134259824
"15hilcs"	"fungi"	"186"	"15hilcs.fungi.186"	243.8880766755	69905	258.63254648	52657	0.753265145554681	48102	0.913496781054751
"15hilcs"	"fungi"	"187"	"15hilcs.fungi.187"	243.7982124165	37257	262.257434704	23202	0.622755455350672	20262	0.873286785621929
"15hilcs"	"fungi"	"188"	"15hilcs.fungi.188"	242.8713540905	54856	259.43842297	36499	0.66536021583783	34193	0.936820186854434
"15hilcs"	"fungi"	"191"	"15hilcs.fungi.191"	241.4963743	37510	267.246820637	23511	0.626792855238603	22012	0.936242609842202
"15hilcs"	"fungi"	"192"	"15hilcs.fungi.192"	243.5956594895	46953	287.135492965	39729	0.846144016356782	29147	0.733645447909588
"15hilcs"	"fungi"	"193"	"15hilcs.fungi.193"	240.067424566	44509	264.753049632	32217	0.723831135276012	27314	0.847813266287985
"15hilcs"	"fungi"	"196"	"15hilcs.fungi.196"	241.7399698955	51819	270.531627456	41230	0.795654103707134	35273	0.855517826825127
"15hilcs"	"fungi"	"197"	"15hilcs.fungi.197"	245.3700861945	35385	284.58458357	24662	0.696961989543592	17212	0.697915821912254
"15hilcs"	"fungi"	"198"	"15hilcs.fungi.198"	241.9846508825	49840	270.323002863	31783	0.637700642054575	29892	0.940502784507441
"15hilcs"	"fungi"	"201"	"15hilcs.fungi.201"	242.0136298185	61116	262.349910992	35952	0.588258393873945	23193	0.645110146862483
"15hilcs"	"fungi"	"202"	"15hilcs.fungi.202"	244.465885611	45494	279.865576548	27153	0.596847935991559	24874	0.916068206091408
"15hilcs"	"fungi"	"203"	"15hilcs.fungi.203"	239.5370111085	64994	265.119758926	50109	0.770978859587039	46685	0.931668961663573
"15hilcs"	"fungi"	"206"	"15hilcs.fungi.206"	245.2727380185	46530	288.775370355	35169	0.755834945196647	32252	0.917057635986238
"15hilcs"	"fungi"	"207"	"15hilcs.fungi.207"	241.317841255	29897	274.068814245	23251	0.777703448506539	18832	0.809943658337276
"15hilcs"	"fungi"	"208"	"15hilcs.fungi.208"	242.3354588585	39206	274.615839117	28095	0.716599500076519	13662	0.486278697277096
"15hilhmc"	"bacteria"	"520"	"15hilhmc.bacteria.520"	250.6799693015	49514	291.992303114	48721	0.983984327664903	16955	0.348001888302785
"15hilhmc"	"bacteria"	"521"	"15hilhmc.bacteria.521"	249.991372549	38250	291.988014563	37629	0.983764705882353	13756	0.365569108931941
"15hilhmc"	"bacteria"	"522"	"15hilhmc.bacteria.522"	249.995539674	118377	291.993252756	116492	0.984076298605303	43042	0.369484599800845
"15hilhmc"	"bacteria"	"525"	"15hilhmc.bacteria.525"	250.534972944	67638	291.987387683	66998	0.990537863331263	63109	0.94195349114899
"15hilhmc"	"bacteria"	"526"	"15hilhmc.bacteria.526"	250.538986306	40091	291.991929586	39651	0.989024968197351	37259	0.939673652619102
"15hilhmc"	"bacteria"	"527"	"15hilhmc.bacteria.527"	250.5382661995	45680	291.977757593	45139	0.988156742556918	42188	0.934624160925142
"15hilhmc"	"bacteria"	"530"	"15hilhmc.bacteria.530"	250.525908948	57374	291.981621603	56697	0.988200230069369	53550	0.944494417694058
"15hilhmc"	"bacteria"	"531"	"15hilhmc.bacteria.531"	250.5275871135	68474	291.99093014	67807	0.990259076437772	63925	0.942749273673809
"15hilhmc"	"bacteria"	"532"	"15hilhmc.bacteria.532"	250.528677544	62331	291.990355939	61696	0.989812452872567	58016	0.940352697095436
"15hilhmc"	"bacteria"	"535"	"15hilhmc.bacteria.535"	250.522737166	64322	291.994814338	63637	0.989350455520662	59817	0.93997202885114
"15hilhmc"	"bacteria"	"536"	"15hilhmc.bacteria.536"	250.5278130365	40179	291.996806478	39768	0.989770775778392	37223	0.936003822168578
"15hilhmc"	"bacteria"	"537"	"15hilhmc.bacteria.537"	250.9935974855	60445	291.995784755	59783	0.989047894780379	56081	0.938076041684091
"15hilhmc"	"bacteria"	"540"	"15hilhmc.bacteria.540"	250.5205963085	52825	291.994029965	52261	0.989323237103644	49258	0.942538412965691
"15hilhmc"	"bacteria"	"541"	"15hilhmc.bacteria.541"	250.527386886	36313	291.992330219	35855	0.987387437006031	33406	0.931697113373309
"15hilhmc"	"bacteria"	"542"	"15hilhmc.bacteria.542"	249.993556081	47797	291.997439424	47255	0.988660376174237	44071	0.932620886678658
"15hilhmc"	"bacteria"	"545"	"15hilhmc.bacteria.545"	250.9917831165	57321	291.991373088	56799	0.99089338985712	53215	0.93690029754045
"15hilhmc"	"bacteria"	"546"	"15hilhmc.bacteria.546"	250.9917332885	47782	293.998243869	47263	0.989138169185049	44383	0.939064384402175
"15hilhmc"	"bacteria"	"547"	"15hilhmc.bacteria.547"	250.5174742125	60203	292.000638066	59555	0.989236416789861	55683	0.934984468138695
"15hilhmc"	"bacteria"	"550"	"15hilhmc.bacteria.550"	250.0127853695	48884	292.000414087	48299	0.988032894198511	45507	0.942193420153626
"15hilhmc"	"bacteria"	"551"	"15hilhmc.bacteria.551"	250.5122140365	51580	291.996745928	51013	0.989007367196588	47487	0.930880363828828
"15hilhmc"	"bacteria"	"552"	"15hilhmc.bacteria.552"	250.994214421	56347	291.990293175	55837	0.990948941381085	52634	0.942636602969357
"15hilhmc"	"bacteria"	"555"	"15hilhmc.bacteria.555"	250.513267283	40777	292.958934325	40350	0.989528410623636	37005	0.917100371747212
"15hilhmc"	"bacteria"	"556"	"15hilhmc.bacteria.556"	250.513543533	13955	292.950835081	13831	0.991114295951272	12658	0.915190514062613
"15hilhmc"	"bacteria"	"557"	"15hilhmc.bacteria.557"	250.992150424	44461	291.992503748	44022	0.990126177998696	40403	0.917791104447776
"15hilhmc"	"bacteria"	"560"	"15hilhmc.bacteria.560"	249.995402794	27843	291.995464277	27559	0.989799949718062	25301	0.918066693276244
"15hilhmc"	"bacteria"	"561"	"15hilhmc.bacteria.561"	249.9956244365	29939	291.99699882	29655	0.990514045225291	27142	0.915258809644242
"15hilhmc"	"bacteria"	"562"	"15hilhmc.bacteria.562"	249.994825356	24736	291.99110676	24513	0.990984799482536	22419	0.914575939297516
"15hilhmc"	"bacteria"	"565"	"15hilhmc.bacteria.565"	249.993488457	76326	291.997522391	75476	0.988863558944527	67823	0.898603529598813
"15hilhmc"	"bacteria"	"566"	"15hilhmc.bacteria.566"	250.518169462	27959	291.99566521	27683	0.990128402303373	25005	0.903261929704151
"15hilhmc"	"bacteria"	"567"	"15hilhmc.bacteria.567"	250.5156413505	18157	292.950905545	17945	0.988324062345101	16037	0.893675118417386
