"OTU" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "Rank6" "Rank7" "Rank5" "Rank1" "Rank2" "Rank3" "Rank4"
"160548" 58.9163541545272 -6.21966689156232 0.990414945173924 -6.27985969100063 3.38878716440445e-10 2.53645584729666e-09 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" NA NA NA NA NA NA NA NA NA
"New.ReferenceOTU0" 9.00647241322589 -4.2465777120394 1.0662992566861 -3.98253837786321 6.81831102903396e-05 0.000280247309652015 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" NA NA NA NA NA NA NA NA NA
"New.ReferenceOTU79" 6.87128844001871 -3.23220720247421 1.08138073363267 -2.98896318562684 0.0027992585746099 0.00776872885313086 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" NA NA NA NA NA NA NA NA NA
"613189" 167.057449494069 -7.29744215706739 0.986259347700198 -7.39911076542279 1.37099459936968e-13 2.41882618603079e-12 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" NA NA NA NA NA NA NA NA NA
"New.ReferenceOTU26" 23.9017714105114 -6.12427830837536 0.967685500207025 -6.32878999123698 2.47091129502837e-10 1.96875835442583e-09 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.ReferenceOTU27" 105.044370175477 -8.29505777410054 1.01596623760258 -8.16469826170082 3.22239672230545e-16 9.94914988011806e-15 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.ReferenceOTU74" 30.5871190151563 -6.7501333831527 1.00399345201317 -6.72328427004935 1.7767346603253e-11 1.90805852652326e-10 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" NA NA NA NA NA NA NA NA NA
"New.ReferenceOTU20" 13.0751012560615 -4.81026334634343 1.02508000362583 -4.69257358384611 2.69789447981741e-06 1.41782965215936e-05 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" NA NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU1929" 3.45327070428599 -3.28758742387979 1.11486510116114 -2.94886567034499 0.00318942573453486 0.00856291474380554 "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA NA NA NA NA NA NA NA
"New.ReferenceOTU9" 10.4083312628856 -4.18075308212666 1.05274044367586 -3.97130470976178 7.14800830286517e-05 0.000280247309652015 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Leuconostocaceae" "Leuconostoc" NA NA NA NA NA NA NA NA
"New.ReferenceOTU14" 5.14117976389765 -3.75135510803021 1.06961190338585 -3.50721144384736 0.000452829175887541 0.00153217543074277 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.ReferenceOTU54" 25.7155485792927 -5.94296441302323 1.10214811946413 -5.39216490784624 6.96138354125885e-08 4.52489930181825e-07 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.ReferenceOTU7" 5.8897544306 -4.62297924980477 1.11693957183732 -4.13896988375132 3.48868737928784e-05 0.000148569962531741 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU5781" 5.24418726985883 -3.7223083839617 1.12104550643293 -3.32039008461463 0.000898917485083442 0.00284657203609757 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Lactococcus" NA NA NA NA NA NA NA NA
"332958" 7.00434317558391 -4.95849568576573 1.03472016951866 -4.79211271978236 1.65034131912974e-06 9.05854012944545e-06 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" NA NA NA NA NA NA NA NA NA
"372473" 1.44179013764228 4.95561330288513 1.9417557618539 2.55213008774787 0.0107066534541061 0.0248982261451663 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" NA NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU692" 7.14411284842132 -3.43441561589019 0.992319695951676 -3.46099712612924 0.000538178557333597 0.00177240138215198 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"1022184" 3.05100232414482 -3.35999332018082 1.14457479971395 -2.93558212274159 0.00332922474297394 0.00884213453241465 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"656517" 3.86850070486106 -4.0928728566622 1.10828063421406 -3.69299320976104 0.000221629943099332 0.000793370955732392 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" "marcescens" NA NA NA NA NA NA NA
"2582263" 3.13103968383307 -3.59031106614239 1.25172334835791 -2.86829439656327 0.00412691329865643 0.0104015059670218 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"124309" 3.58845494684381 -3.76104488072177 1.17551238759843 -3.19949404225809 0.0013766903255424 0.00414685988303625 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" "marcescens" NA NA NA NA NA NA NA
"794948" 4.20310648214733 -4.0412592971222 1.09884753629162 -3.67772521997054 0.000235323265859338 0.000830354952389377 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" NA NA NA NA NA NA NA NA NA
"688934" 2.00435065828504 -2.85053456059896 1.21305967381268 -2.34987166924743 0.0187798845920241 0.0403359260367823 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"797229" 1.96553715523591 -2.78378705382611 1.14812895141151 -2.42462926346708 0.0153240268422922 0.0332020581582997 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"802787" 1.91184895095075 -3.35721929262644 1.16133476029365 -2.89082821543855 0.00384228082628441 0.00998993014833947 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"4343005" 913.799352417238 -6.28558596207468 0.561520342670379 -11.1938704342977 4.36935311344341e-29 2.69807554755131e-27 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"10002" 32.7855816751868 -6.40766313720022 1.00508090582317 -6.37527098572459 1.82639721566152e-10 1.61114325810141e-09 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"555870" 2.47830745740774 -2.79627235192207 1.200950479797 -2.32838272598445 0.019891790070753 0.0419937790382564 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"835795" 2.63990420918533 -3.35914939490658 1.10013764102341 -3.05339011196974 0.00226271575630186 0.00642403208973057 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" NA NA NA NA NA NA NA NA NA
"1110763" 1220.54445437277 -4.94447326937414 0.560239670038259 -8.82563933581582 1.08836245716556e-18 4.48042544866489e-17 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"922761" 19.3017869556284 -3.00081364241 0.806690677990832 -3.71990618496289 0.000199296792641271 0.000723916290917559 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" "marcescens" NA NA NA NA NA NA NA
"New.ReferenceOTU44" 13.0833079888143 -4.2790445577773 1.07575004197133 -3.97773124873496 6.95759459354072e-05 0.000280247309652015 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
"837283" 152.542970784111 -5.27535482317203 0.617719162546322 -8.54005370567801 1.34159467440584e-17 4.73391263683202e-16 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Serratia" NA NA NA NA NA NA NA NA
