"OTU" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"AY313025" 0.227322790769428 2.21792286854842 0.768285278955177 2.8868480619135 0.00389122088568372 0.0364261510687615 "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Tremellaceae" "Bullera" "Bullera_sp_TY_143" NA NA NA NA NA NA NA
"DQ421212" 1.96830835346589 2.7438782494555 0.773549717062694 3.54712591696691 0.000389458402945053 0.0194974038333292 "Fungi" "unidentified" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedsoil_fungus" NA NA NA NA NA NA NA
"AM901740" 1.16778771286882 2.52113302303676 0.772668613574354 3.26289042772689 0.00110282149836783 0.0231432039615078 "Fungi" "Basidiomycota" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedBasidiomycota" NA NA NA NA NA NA NA
"FM178236" 5.88894836733253 2.85163544876509 0.775802258277082 3.67572460422848 0.0002371752692714 0.0194974038333292 "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Clavicipitaceae" "unidentified" "unculturedClavicipitaceae" NA NA NA NA NA NA NA
"FN562062" 0.39562875339866 2.39339072560973 0.768459585705975 3.11453038016429 0.00184237982749722 0.0271098436303783 "Fungi" "Ascomycota" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedAscomycota" NA NA NA NA NA NA NA
"JF770474" 0.360655737704918 2.36499354800829 0.768285278955177 3.07827523550177 0.00208202522040251 0.0271098436303783 "Fungi" "Basidiomycota" "Pucciniomycetes" "Pucciniales" "Pucciniaceae" "Puccinia" "Puccinia_striiformis_f_sp_tritici" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU512" 1.48063489968246 2.55613015580318 0.773154526564073 3.30610514196007 0.000946025818057211 0.0227721929060914 "Fungi" "unidentified" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedfungus" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU721" 0.453499320877181 2.43347955775062 0.769109886979937 3.16402064119363 0.00155605759225915 0.0271098436303783 "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Cephalothecaceae" "Phialemonium" "Phialemonium_curvatum" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU806" 0.609284539987864 2.51303696608937 0.770512005336286 3.26151565281915 0.00110818314085284 0.0231432039615078 "Fungi" "Basidiomycota" "Agaricostilbomycetes" "Agaricostilbales" "Chionosphaeraceae" "Kurtzmanomyces" "Kurtzmanomyces_insolitus" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU872" 0.335519222282521 2.34298082030437 0.768285278955177 3.04962347253443 0.0022912842701124 0.0272494005425674 "Fungi" "unidentified" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedsoil_fungus" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU974" 0.78142209326991 2.57347712201651 0.771444444460992 3.33592022146792 0.000850175573145153 0.0220391667807628 "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unidentified" "unidentified" "Pleosporales_sp_5_TMS_2011" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU1115" 0.273224285214499 2.27809162677132 0.768285278955177 2.96516370828996 0.00302521896487738 0.0308939027625356 "Fungi" "unidentified" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedfungus" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU1452" 0.656457239558771 2.38872343987754 0.770975929416616 3.09831130744257 0.0019462686570714 0.0271098436303783 "Fungi" "Ascomycota" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedAscomycota" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU1812" 0.3978148838465 2.39587427150176 0.768494388177282 3.1176210371351 0.0018231706691579 0.0271098436303783 "Fungi" "Ascomycota" "Dothideomycetes" "Capnodiales" "Teratosphaeriaceae" "Devriesia" "Devriesia_xanthorrhoeae" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU1961" 0.19672131147541 -2.37239558309037 0.768285278955177 -3.08790972321725 0.00201569694153358 0.0271098436303783 "Fungi" "unidentified" "unidentified" "unidentified" "unidentified" "unidentified" "unculturedfungus" NA NA NA NA NA NA NA
