"sample.id.string" "Chao1" "InvSimpson" "Observed" "se.chao1" "Simpson"
145 326.096774193548 13.5351552823657 308 8.24750583371256 0.926118320836492
146 275.875 5.2965420777535 240 14.5885784555195 0.811197572808834
147 332.371428571429 9.10650938508179 293 14.1997963301267 0.890188440190026
148 291.125 12.5679032131947 238 19.7885359315914 0.920432232566039
150 113 7.44243164424898 62 35.1846582616792 0.865635312784803
151 102.875 4.17386462295501 74 16.6950608213627 0.760413887287983
152 148.769230769231 9.36888234283334 103 20.996577969508 0.893263682538938
153 127.909090909091 3.17389754386302 96 16.5113359794721 0.684929968223587
155 20.5 1.05714810993534 17 3.65380226650404 0.0540587543015497
156 92.375 4.06353148128358 71 13.1450233307246 0.753908637202406
157 79 4.22706822596425 64 9.97833888156957 0.763429415721842
158 36.8571428571429 1.04193057043247 29 6.32990552413035 0.0402431521085561
160 90.75 3.27542124758848 72 9.89573110312209 0.69469575837421
161 116.8 2.05261696924379 79 19.4400583987792 0.512817045272498
162 100.5 2.60850680438877 63 20.6250471128664 0.616638914524771
163 51 2.31023599207201 40 8.46944398892167 0.567143788153384
165 87.6666666666667 5.1497969233698 62 14.7000404610322 0.805817585648476
166 116.428571428571 3.18484769426552 92 15.1660156148469 0.686013242705279
167 110.176470588235 5.85898755608538 99 6.66279908682407 0.829322047465119
168 102.666666666667 3.99735195520924 77 14.7009813160853 0.74983438756329
170 118 4.56030451069524 97 11.8920148338739 0.780716397851348
171 49.5 3.65923582852733 33 12.8877915274319 0.726718897917423
172 33.5 2.72825094976336 26 8.13109702352457 0.633464802756968
173 15.5 1.25913809845752 13 3.14629838832669 0.205805938820348
175 86.6153846153846 1.56477763282795 72 8.64531823168479 0.360931560484574
176 37.5 2.6040553758938 30 6.34556567247584 0.615983588806452
177 137 7.86756113847742 110 13.8161592579345 0.872895808192788
178 57.375 8.22899652698829 46 8.08098614329343 0.878478500176742
