"sample.id.string" "Chao1" "InvSimpson" "Observed" "se.chao1" "Simpson"
146 216.12 1.27337364277663 188 11.9986567359332 0.214684546305299
147 280.5 3.85188284351988 263 7.79577566095642 0.740386704210819
148 340.222222222222 7.98700810675313 323 8.20697043942221 0.87479667146519
171 196 10.9021122554433 187 5.57199264290166 0.908274655720894
172 262.75 10.0297629185512 224 18.8052402014541 0.90029674598286
173 255 10.4698445014403 226 14.0473655645047 0.904487597703821
176 235.833333333333 7.97373530904826 220 9.36890879493491 0.874588262433888
177 199.272727272727 10.1642816322377 182 10.2347400993671 0.901616264072383
181 247.454545454545 11.8793012192658 242 3.83224192652435 0.915819964361355
182 317.344827586207 12.8935852205038 298 8.78461817944308 0.922442052935768
183 159.5 9.76820336877286 154 4.33887533942568 0.897627029019808
186 338.615384615385 13.6617246505055 323 7.71195352324482 0.926802799384264
187 253.615384615385 11.2837534985936 238 7.71186742886497 0.911377007648683
188 293.153846153846 10.5514246623113 255 18.147747991682 0.905226068326876
191 165.214285714286 19.9337604795757 153 7.43452719714463 0.949833850917161
192 99.4285714285714 6.19422631545103 90 7.2562340072521 0.838559337506675
193 167.375 21.2006062315259 156 8.08472431565483 0.952831537500424
196 163.066666666667 25.4372501267307 154 5.89433619659499 0.960687574520913
197 106 22.7987229345669 93 9.63307775879123 0.956137894088628
198 214.214285714286 22.437277756462 191 12.0492436761715 0.955431313421612
201 160.833333333333 12.7070218788695 145 9.36841972525079 0.921303354197973
202 163.153846153846 22.0465916870078 150 7.99366929476914 0.954641514924536
203 250.3 23.222202834031 230 9.93731875885351 0.956937763090479
206 164.615384615385 21.3263248157684 150 8.64645250110095 0.953109595364476
207 127.272727272727 24.6981818414654 119 5.91611291725601 0.959511189673034
208 84.6 10.7047090380563 84 1.18554413398111 0.906583168543404
