	sequences per sample	iteration	425	426	437	430	1020	757	1138	1034	447	1016	1033	1017	1031	759	1154	1019	1145	758	1018	1156	1139	760	1140	1035	1032	451	427	836	424	837	839	844	831	457	1155	1162	1157	761	1040	1142	1153
alpha_rarefaction_2009_4.txt	2009	4	78.0	89.25	20.75	35.5	10.0	17.5	23.0	10.25	33.0	15.0	15.75	41.0	19.25	19.0	19.5	15.3333333333	21.5	14.3333333333	19.75	24.0	7.0	17.75	15.0	18.0	15.5	23.0	74.0	39.2	66.5	28.2	67.25	31.25	45.8571428571	4.0	10.0	10.0	14.0	13.5	7.25	7.0	14.0
alpha_rarefaction_2009_5.txt	2009	5	88.0	95.5454545455	19.0	25.5	11.0	27.0	16.5	17.0	22.0	21.0	19.0	9.5	9.5	20.0	20.5	19.5	22.5	15.75	28.0	18.0	43.5	24.5	20.5	15.5	13.0	21.6	68.1666666667	63.0	91.0	47.5	64.25	42.25	45.3333333333	9.0	24.0	19.0	16.0	9.0	6.5	9.0	19.5
alpha_rarefaction_2009_6.txt	2009	6	65.1428571429	82.2727272727	20.5	56.5	13.8571428571	35.0	19.5	16.0	19.5	10.5	17.6	13.0	8.5	19.0	19.3333333333	20.0	31.0	13.3333333333	21.5	17.0	19.0	14.0	12.0	17.3333333333	21.75	33.5	99.5	35.0	67.5	30.75	46.25	42.2	46.0	6.0	11.5	10.0	12.0	10.0	6.5	5.0	12.5
alpha_rarefaction_2009_7.txt	2009	7	64.4615384615	104.1	19.5	27.0	20.0	25.5	17.0	13.0	17.0	35.3333333333	21.0	8.0	22.0	19.0	18.3333333333	9.33333333333	54.0	20.75	18.0	23.25	9.5	15.0	10.0	41.5	14.5	24.0	75.0	39.4285714286	67.2307692308	43.3333333333	46.2307692308	59.0	41.0	5.0	11.0	12.0	12.0	12.0	25.0	13.0	27.0
alpha_rarefaction_2009_8.txt	2009	8	167.5	112.75	20.5	33.0	8.0	17.3333333333	15.0	13.0	21.0	7.0	45.0	9.33333333333	12.5	21.75	17.5	34.0	16.2	27.5	15.0	20.0	11.0	16.0	14.0	17.0	26.3333333333	24.0	60.25	64.3333333333	86.1	27.5	47.1666666667	30.0	62.5	6.0	10.0	12.5	14.0	27.0	11.0	9.0	13.0
alpha_rarefaction_2009_9.txt	2009	9	50.3333333333	93.0	20.0	27.3333333333	21.0	13.6	21.5	28.0	27.5	12.0	18.5	19.5	10.5	14.5	21.0	23.5	14.2	14.5	20.0	21.0	20.0	23.3333333333	10.0	16.0	16.0	34.3333333333	59.6	52.0	108.166666667	28.1428571429	48.75	42.2	76.2	9.0	19.0	12.0	19.0	10.0	10.2	20.0	10.5
alpha_rarefaction_4008_0.txt	4008	0	104.5	107.4	21.5	66.0	22.5	26.0	18.5	18.0	21.0	83.0	23.0	35.0	28.0	75.0	34.0	18.3333333333	17.5	24.5	20.3333333333	35.0	44.5	21.5	17.3333333333	17.5	18.0	34.0	86.0	45.1428571429	80.5	37.0	69.4285714286	56.1428571429	95.5	13.0	13.0	14.5	15.0	28.0	26.0	12.0	16.0
alpha_rarefaction_4008_1.txt	4008	1	82.4285714286	105.25	23.0	67.0	11.0	20.5	30.0	35.0	20.0	16.0	30.5	18.0	18.0	21.0	22.3333333333	35.0	30.0	27.0	25.25	27.2	10.25	28.5	20.0	51.5	21.0	40.0	101.875	50.0	78.0	29.4285714286	71.0	48.375	89.75	9.0	15.5	12.0	25.0	12.5	11.0	17.0	16.0
alpha_rarefaction_4008_2.txt	4008	2	67.0	92.5882352941	19.0	45.0	15.0	27.5	19.6666666667	15.0	29.0	8.5	37.0	30.0	18.0	20.3333333333	18.75	27.3333333333	29.2	39.0	17.0	44.5	21.25	14.0	13.0	64.0	15.75	42.0	98.0	62.0	106.272727273	35.6	75.5	42.0	66.0	17.5	13.5	14.5	25.0	35.0	13.0	6.0	15.0
alpha_rarefaction_4008_3.txt	4008	3	75.1538461538	92.7727272727	25.0	54.5	13.0	19.0	26.0	21.0	17.25	15.0	49.0	17.0	33.0	33.0	22.5	12.5	29.0	48.0	20.0	37.0	20.25	15.0	11.75	35.0	48.5	36.0	70.5	47.1666666667	92.1111111111	45.0	64.0	56.2	96.5	11.0	16.0	12.0	17.0	10.0	8.0	9.5	11.5
alpha_rarefaction_4008_4.txt	4008	4	115.0	108.076923077	20.0	68.0	21.0	17.5	29.3333333333	21.5	30.3333333333	25.3333333333	30.5	28.0	36.0	65.0	16.0	24.0	32.0	26.5	33.0	26.5	25.3333333333	22.0	18.0	67.0	17.0	31.0	93.5	62.5	112.363636364	72.0	55.75	35.625	57.6	9.33333333333	18.0	12.5	37.0	9.0	8.5	9.0	22.5
alpha_rarefaction_4008_5.txt	4008	5	107.0	103.071428571	29.0	37.0	18.0	25.0	15.0	22.0	32.3333333333	28.0	16.3333333333	15.0	22.0	88.0	23.0	22.0	36.0	20.5	21.0	29.5	34.0	13.5	13.0	29.5	47.0	27.5	84.0	52.0909090909	97.0833333333	58.75	44.6666666667	42.875	53.4285714286	9.0	15.5	12.5	17.0	12.5	10.75	11.0	18.0
